dataset,cell_line,row_kind,method,seed,nsc1,nsc2,conc1_M,conc2_M,percent_growth,final_regret,pool_optimum_percent_growth,chose_pool_optimum,best_step,n_replicates,pool_index,source_pool_index,pool_size,pool_size_full,n_init,n_iter,regret,drug1_name,drug2_name,drug1_moa,drug2_moa,has_fit_drug1,has_fit_drug2,burden_initial,burden_final,burden_ratio_final,nadir_burden,time_to_nadir,depth_of_response,kg_regrowth,time_to_regrowth,log_kill,log_kill_nadir,burden_auc_ratio,log_kill_auc,growth_delay,kg_biexp,ks_biexp,ttg_biexp,biexp_r2,ets_early,t_early,hypoxic_fraction,necrotic_fraction,viable_rim_thickness,auc_surface_drug1,auc_core_drug1,core_to_surface_ratio_drug1,penetration_depth_drug1,auc_surface_drug2,auc_core_drug2,core_to_surface_ratio_drug2,penetration_depth_drug2,kill_fraction_core,kill_fraction_rim,core_sparing,residual_core_burden,solver_success,n_drugs_simulated,sim_ok,sim_message,wall_s
almanac,SNB-75,bo_selection,linear_curve,8,9706,24559,4.999999873689376e-06,9.999999974752427e-07,-93.98999786376952,0.0,-93.98999786376952,True,19.0,1.0,784.0,8369.0,4000.0,44573.0,10.0,20.0,,triethylenemelamine,NSC24559,alkylator,other,True,True,241279087.64641002,244701176.80987534,1.0141831154819365,0.15506082936277743,4.6000000000000005,0.8449391706372226,0.09762734003224441,11.399999999999999,-0.0006997162041791886,0.8206685061664895,0.6754683038110639,0.17039502532872802,,0.04091712616203103,0.7274940702479457,3.745464867800039,0.758300815148532,0.8190133177675735,5.25,0.20333982750456273,0.060731260348103,166.03773584905662,0.09831555143731151,0.06392729965551078,0.6502257142530746,400.0,2.6022376826366,1.6361147247462398,0.6287337761893143,400.0,-0.11433897927457437,0.0020438780992507732,0.11638285737382514,0.14499650748197287,1.0,2,True,The solver successfully reached the end of the integration interval.,3.325
almanac,SNB-75,bo_selection,linear_curve,9,9706,24559,4.999999873689376e-06,9.999999974752427e-07,-93.98999786376952,0.0,-93.98999786376952,True,23.0,1.0,784.0,8369.0,4000.0,44573.0,10.0,20.0,,triethylenemelamine,NSC24559,alkylator,other,True,True,241279087.64641002,244701176.80987534,1.0141831154819365,0.15506082936277743,4.6000000000000005,0.8449391706372226,0.09762734003224441,11.399999999999999,-0.0006997162041791886,0.8206685061664895,0.6754683038110639,0.17039502532872802,,0.04091712616203103,0.7274940702479457,3.745464867800039,0.758300815148532,0.8190133177675735,5.25,0.20333982750456273,0.060731260348103,166.03773584905662,0.09831555143731151,0.06392729965551078,0.6502257142530746,400.0,2.6022376826366,1.6361147247462398,0.6287337761893143,400.0,-0.11433897927457437,0.0020438780992507732,0.11638285737382514,0.14499650748197287,1.0,2,True,The solver successfully reached the end of the integration interval.,3.325
almanac,SNB-75,bo_selection,ours+zero,0,740,24559,9.99999993922529e-09,9.999999974752427e-07,-89.58999633789062,4.400001525878906,-93.98999786376952,False,29.0,1.0,19.0,122.0,4000.0,44573.0,10.0,20.0,,NSC740,NSC24559,other,other,True,True,241279087.64641002,244555960.2634353,1.013581254177434,0.5120994426562817,4.4,0.4879005573437183,0.027784725738900725,7.800000000000001,-0.00044191006555363495,0.30191839803167025,0.8616561427921432,0.06466601153172556,,0.034683221407374794,0.09450325387857669,7.75915766090304,0.1147026938616138,0.3962104275705469,5.25,0.20333982750456273,0.060731260348103,166.03773584905662,0.37768321460144244,0.22200362209043395,0.5878037823965981,400.0,2.6022376826366,1.5756512090017392,0.6054985751360275,400.0,-0.03474126050787585,0.00030229266474390837,0.03504355317261976,0.142876657588475,1.0,2,True,The solver successfully reached the end of the integration interval.,1.171
almanac,SNB-75,bo_selection,ours+zero,1,24559,747599,9.999999974752427e-07,9.999999974752427e-07,-92.63999938964844,1.3499984741210938,-93.98999786376952,False,4.0,1.0,1149.0,12653.0,4000.0,44573.0,10.0,20.0,,NSC24559,nilotinib,other,kinase_inhibitor,True,True,241279087.64641002,244559514.50892362,1.0135959850251133,0.5029678172849612,4.4,0.4970321827150388,0.028666440965627597,8.0,-0.0004482218233390259,0.3097325038648382,0.8584418144700771,0.06628913615937974,,0.03498677693381953,0.09730420405321188,7.731985956547428,0.12018149636205944,0.40597586099967176,5.25,0.20333982750456273,0.060731260348103,166.03773584905662,2.6022376826366,1.5769481229665696,0.6059969592665333,400.0,19.12519362602552,12.220219935895722,0.6389592793071895,400.0,-0.035852601751407365,0.0003156229304787095,0.036168224681886074,0.14290347091455471,1.0,2,True,The solver successfully reached the end of the integration interval.,1.257
almanac,SNB-75,bo_selection,ours+zero,2,34462,754143,4.999999873689376e-06,9.99999993922529e-09,-51.59600067138672,42.39399719238281,-93.98999786376952,False,12.0,1.0,1543.0,17060.0,4000.0,44573.0,10.0,20.0,,uracil mustard,bendamustine,alkylator,alkylator,True,True,241279087.64641002,243995941.53759775,1.011260212883303,0.07877622556060104,4.6000000000000005,0.921223774439399,0.13590779075019657,13.2,0.000553739109167317,1.1147754402539651,0.6028348899904438,0.2198016201732203,,0.039459280536261784,1.016769958033841,3.0761474758494605,0.8682051605329052,0.8996828124872461,5.25,0.20333982750456273,0.060731260348103,166.03773584905662,0.0603873542817414,0.039683011205057975,0.657141079900837,400.0,4.761974089517633,3.154472039054174,0.6624294840238637,400.0,-0.14097913952129448,0.0034135798155451313,0.14439271933683961,0.14391745001265766,1.0,2,True,The solver successfully reached the end of the integration interval.,9.024
almanac,SNB-75,bo_selection,ours+zero,3,698037,761432,9.99999993922529e-09,5.000000058430487e-08,-39.895999908447266,54.093997955322266,-93.98999786376952,False,13.0,1.0,3601.0,40087.0,4000.0,44573.0,10.0,20.0,,pemetrexed,NSC761432,antimetabolite,other,True,True,241279087.64641002,215356309.50783443,0.8925610238689027,0.004776011105266802,5.6000000000000005,0.9952239888947332,0.38773386329754445,,0.05477874150710658,2.3314499251310368,0.23726208550192332,0.6247716565271504,,0.021799197644631764,1.4822180915575256,2.8054343668728365,0.6678577636932275,0.995020003374072,5.25,0.12976898985349486,0.00853782633956741,198.7421383647799,1.3461660984084034,0.8923797117398398,0.6629046094645501,400.0,6.748397724665187,4.402791380844428,0.6524202574416087,400.0,-0.3274773727557714,0.09977317866094004,0.4272505514167114,0.06723709640315428,1.0,2,True,The solver successfully reached the end of the integration interval.,5.311
almanac,SNB-75,bo_selection,ours+zero,4,279836,628503,4.999999987376214e-07,2.999999892949745e-08,-57.448001861572266,36.541996002197266,-93.98999786376952,False,15.0,1.0,3216.0,35647.0,4000.0,44573.0,10.0,20.0,,NSC279836,NSC628503,other,other,True,True,241279087.64641002,237220548.48730937,0.9831790678641475,0.013651630333172573,4.4,0.9863483696668274,0.2585128479192302,,0.012784036027756246,1.8760881815157429,0.41082735631186396,0.38634064516307226,,0.032869812493685445,1.7180478618456447,2.259608967348829,0.8692093586080717,0.9800634652306169,5.25,0.18438794270849848,0.03809109427842493,173.58490566037736,9.796158747158362,6.415893360602055,0.6549397091449908,400.0,9.145755133212429,5.9878617568524755,0.6547148561968169,400.0,-0.01621445855779502,0.01626354846142697,0.03247800701922199,0.11360638503288675,1.0,2,True,The solver successfully reached the end of the integration interval.,1.594
almanac,SNB-75,bo_selection,ours+zero,5,34462,754143,4.999999873689376e-06,9.99999993922529e-09,-51.59600067138672,42.39399719238281,-93.98999786376952,False,11.0,1.0,1543.0,17060.0,4000.0,44573.0,10.0,20.0,,uracil mustard,bendamustine,alkylator,alkylator,True,True,241279087.64641002,243995941.53759775,1.011260212883303,0.07877622556060104,4.6000000000000005,0.921223774439399,0.13590779075019657,13.2,0.000553739109167317,1.1147754402539651,0.6028348899904438,0.2198016201732203,,0.039459280536261784,1.016769958033841,3.0761474758494605,0.8682051605329052,0.8996828124872461,5.25,0.20333982750456273,0.060731260348103,166.03773584905662,0.0603873542817414,0.039683011205057975,0.657141079900837,400.0,4.761974089517633,3.154472039054174,0.6624294840238637,400.0,-0.14097913952129448,0.0034135798155451313,0.14439271933683961,0.14391745001265766,1.0,2,True,The solver successfully reached the end of the integration interval.,9.024
almanac,SNB-75,bo_selection,ours+zero,6,752,673596,9.999999974752427e-07,2.999999892949745e-08,-47.564998626708984,46.42499923706055,-93.98999786376952,False,26.0,1.0,220.0,2291.0,4000.0,44573.0,10.0,20.0,,thioguanine,NSC673596,antimetabolite,other,True,True,241279087.64641002,244389013.6780468,1.0128893310314333,0.06992441127211788,4.6000000000000005,0.9300755887278821,0.13885490528439792,12.8,-0.00014533688252271548,1.166541790165145,0.6049033291217591,0.2183140253203381,,0.03959629307570639,1.0168188931377333,3.0723704452168694,0.8606178758534053,0.9050926960808812,5.25,0.20333982750456273,0.060731260348103,166.03773584905662,1.069064823587256,0.7053213216742137,0.6597554293363634,400.0,5.730152107918399,3.692378250613324,0.6443770044971214,400.0,-0.1550712569500987,0.003386142627033628,0.15845739957713234,0.14520687664891974,1.0,2,True,The solver successfully reached the end of the integration interval.,4.139
almanac,SNB-75,bo_selection,ours+zero,7,279836,628503,4.999999987376214e-07,2.999999892949745e-08,-57.448001861572266,36.541996002197266,-93.98999786376952,False,12.0,1.0,3216.0,35647.0,4000.0,44573.0,10.0,20.0,,NSC279836,NSC628503,other,other,True,True,241279087.64641002,237220548.48730937,0.9831790678641475,0.013651630333172573,4.4,0.9863483696668274,0.2585128479192302,,0.012784036027756246,1.8760881815157429,0.41082735631186396,0.38634064516307226,,0.032869812493685445,1.7180478618456447,2.259608967348829,0.8692093586080717,0.9800634652306169,5.25,0.18438794270849848,0.03809109427842493,173.58490566037736,9.796158747158362,6.415893360602055,0.6549397091449908,400.0,9.145755133212429,5.9878617568524755,0.6547148561968169,400.0,-0.01621445855779502,0.01626354846142697,0.03247800701922199,0.11360638503288675,1.0,2,True,The solver successfully reached the end of the integration interval.,1.594
almanac,SNB-75,bo_selection,ours+zero,8,681239,732517,3.000000106112566e-07,1.0000000116860974e-07,-52.70000076293945,41.28999710083008,-93.98999786376952,False,15.0,1.0,3537.0,39337.0,4000.0,44573.0,10.0,20.0,,bortezomib,dasatinib,proteasome,kinase_inhibitor,True,True,241279087.64641002,240993379.44863608,0.9988158600873333,0.03351633405152189,5.0,0.9664836659484781,0.22363569149050858,,0.0059312299146464294,1.4856752165732898,0.460433948859996,0.336832662325038,,0.034524037432441035,1.1187528677135776,3.016026765804285,0.8809553660061774,0.9656416761705029,5.25,0.190568164729299,0.052398670218621324,171.0691823899371,2.512032418714208,1.550166572383692,0.6170965632589844,400.0,0.03437425682012646,0.021837189635606425,0.6352774330475282,400.0,-0.2464558816426392,0.013116188089389302,0.2595720697320285,0.12990281996609127,1.0,2,True,The solver successfully reached the end of the integration interval.,4.761
almanac,SNB-75,bo_selection,ours+zero,9,8806,754143,1.0000000116860974e-07,9.99999993922529e-09,-40.71500015258789,53.27499771118164,-93.98999786376952,False,13.0,1.0,773.0,8255.0,4000.0,44573.0,10.0,20.0,,melphalan,bendamustine,alkylator,alkylator,True,True,241279087.64641002,244007392.91662276,1.0113076740169502,0.08051129230936535,4.6000000000000005,0.9194887076906346,0.1344447299366195,13.2,0.0005333569913802484,1.1053138110050797,0.6051606029537872,0.2181293530822692,,0.03951202367304035,1.0087307761027113,3.0907373182766484,0.8661463818101606,0.8975416740752157,5.25,0.20333982750456273,0.060731260348103,166.03773584905662,0.04007305363866938,0.026329271753580373,0.6570318296924934,400.0,4.761974089517633,3.154337656735628,0.6624012641478166,400.0,-0.13957202661415313,0.0033467570417485826,0.14291878365590172,0.14389873313474508,1.0,2,True,The solver successfully reached the end of the integration interval.,1.72
almanac,SNB-75,bo_selection,random,0,24559,279836,2.999999892949745e-08,4.999999987376214e-07,-46.152000427246094,47.83799743652344,-93.98999786376952,False,5.0,1.0,1125.0,12434.0,4000.0,44573.0,10.0,20.0,,NSC24559,NSC279836,other,other,True,True,241279087.64641002,240022537.68279684,0.9947921306571972,0.023287352758392003,4.4,0.976712647241608,0.2205559942013391,,0.007684318655407885,1.6441525792520768,0.4637000670521812,0.3337628413041304,,0.035051124996066774,1.4957559956356918,2.45202630707857,0.898166325498503,0.966539157102641,5.25,0.190568164729299,0.04729015437121408,171.0691823899371,0.07806712789049647,0.05025113035289339,0.6436912912100451,400.0,9.796158747158362,6.407648120318343,0.6540980281865126,400.0,-0.08082541811101862,0.010554339013843839,0.09137975712486246,0.12408938322516723,1.0,2,True,The solver successfully reached the end of the integration interval.,3.966
almanac,SNB-75,bo_selection,random,1,24559,747599,9.999999974752427e-07,9.999999974752427e-07,-92.63999938964844,1.3499984741210938,-93.98999786376952,False,4.0,1.0,1149.0,12653.0,4000.0,44573.0,10.0,20.0,,NSC24559,nilotinib,other,kinase_inhibitor,True,True,241279087.64641002,244559514.50892362,1.0135959850251133,0.5029678172849612,4.4,0.4970321827150388,0.028666440965627597,8.0,-0.0004482218233390259,0.3097325038648382,0.8584418144700771,0.06628913615937974,,0.03498677693381953,0.09730420405321188,7.731985956547428,0.12018149636205944,0.40597586099967176,5.25,0.20333982750456273,0.060731260348103,166.03773584905662,2.6022376826366,1.5769481229665696,0.6059969592665333,400.0,19.12519362602552,12.220219935895722,0.6389592793071895,400.0,-0.035852601751407365,0.0003156229304787095,0.036168224681886074,0.14290347091455471,1.0,2,True,The solver successfully reached the end of the integration interval.,1.257
almanac,SNB-75,bo_selection,random,2,608210,713563,9.999999974752427e-07,9.999999974752427e-07,23.445999145507812,117.43599700927734,-93.98999786376952,False,22.0,1.0,3390.0,37743.0,4000.0,44573.0,10.0,20.0,,bortezomib,arsenic trioxide,proteasome,other,True,True,241279087.64641002,244466704.83900222,1.0132113281084003,0.6300475739418456,4.4,0.36995242605815437,0.01866353557950994,7.0,-0.0002833769687960602,0.21189935758879175,0.898646136426955,0.046411288523664794,,0.03066075385708373,0.06691040805614204,7.997968408633969,0.07262270260574943,0.28958790889187014,5.25,0.20333982750456273,0.060731260348103,166.03773584905662,2.3108922603593376,1.1754141111472798,0.5086408100066535,400.0,5.946726605522958,3.6694405764905524,0.6170521733894071,400.0,-0.02101673011145655,0.00018001756877061847,0.021196747680227168,0.14242848159506097,1.0,2,True,The solver successfully reached the end of the integration interval.,3.413
almanac,SNB-75,bo_selection,random,3,755,628503,2.0000000233721948e-07,3.999999975690116e-08,7.900000095367432,101.88999938964844,-93.98999786376952,False,13.0,1.0,287.0,3092.0,4000.0,44573.0,10.0,20.0,,mercaptopurine,NSC628503,antimetabolite,other,True,True,241279087.64641002,244376704.22216672,1.0128383135313253,0.7325346225099673,4.4,0.26746537749003274,0.012816329665072894,6.800000000000001,-0.00012346166268096344,0.1464445451998541,0.925020037567355,0.03384885957374599,,0.02691608394512531,0.05029730683955259,8.097397397762467,0.06752043443210454,0.21081590669364048,5.25,0.20333982750456273,0.060731260348103,166.03773584905662,0.817937081228717,0.5322101807014723,0.6506737411904329,400.0,12.194340538641576,7.727368904096138,0.6336848540197444,400.0,-0.01995164734825261,0.00016133822128228115,0.02011298556953489,0.14212244850756717,1.0,2,True,The solver successfully reached the end of the integration interval.,1.969
almanac,SNB-75,bo_selection,random,4,125973,719627,3.000000106112566e-07,4.999999873689376e-06,-45.349998474121094,48.63999938964844,-93.98999786376952,False,28.0,1.0,2734.0,30257.0,4000.0,44573.0,10.0,20.0,,paclitaxel,letrozole,antimitotic,hormonal,True,True,241279087.64641002,244555438.17984048,1.0135790903612496,0.5792753292491392,4.6000000000000005,0.42072467075086084,0.022767036196040796,7.3999999999999995,-0.00044098292288201937,0.24828557595622772,0.8851544091309673,0.05298096299234445,,0.03262372258282293,0.07877229437018009,7.913403499858638,0.13282970304997133,0.3655941501060136,5.25,0.20333982750456273,0.060731260348103,166.03773584905662,8.817860351439135,3.70324618906297,0.41997106344041557,400.0,0.29022530804925756,0.18193203475435965,0.6268648174661661,400.0,-0.04384731872007763,0.00028167140391133216,0.044128990123988965,0.14291697398211423,1.0,2,True,The solver successfully reached the end of the integration interval.,4.069
almanac,SNB-75,bo_selection,random,5,750,246131,4.999999873689376e-05,1.9999999494757503e-05,-86.5,7.489997863769531,-93.98999786376952,False,29.0,1.0,119.0,1295.0,4000.0,44573.0,10.0,20.0,,NSC750,mitoxantrone,other,dna_intercalator,True,True,241279087.64641002,244375981.69514307,1.012835318961714,0.7980402524903003,4.4,0.2019597475096997,0.009239306089255786,5.6,-0.00012217762063502068,0.1092479038440086,0.9432646894496873,0.025366422811550132,,0.023621905758351654,0.03915550066410448,8.050132237573434,0.06667980781683047,0.15515673445658662,5.25,0.20333982750456273,0.060731260348103,166.03773584905662,236.18173528369041,155.2571357170888,0.6573630070530273,400.0,2.3249476436352357,0.5644860935807673,0.24279518514152412,144.49115161839862,-0.008247653381957765,8.026903358382409e-05,0.008327922415541589,0.1419961266399635,1.0,2,True,The solver successfully reached the end of the integration interval.,4.764
almanac,SNB-75,bo_selection,random,6,750,246131,4.999999873689376e-05,1.9999999494757503e-05,-86.5,7.489997863769531,-93.98999786376952,False,26.0,1.0,119.0,1295.0,4000.0,44573.0,10.0,20.0,,NSC750,mitoxantrone,other,dna_intercalator,True,True,241279087.64641002,244375981.69514307,1.012835318961714,0.7980402524903003,4.4,0.2019597475096997,0.009239306089255786,5.6,-0.00012217762063502068,0.1092479038440086,0.9432646894496873,0.025366422811550132,,0.023621905758351654,0.03915550066410448,8.050132237573434,0.06667980781683047,0.15515673445658662,5.25,0.20333982750456273,0.060731260348103,166.03773584905662,236.18173528369041,155.2571357170888,0.6573630070530273,400.0,2.3249476436352357,0.5644860935807673,0.24279518514152412,144.49115161839862,-0.008247653381957765,8.026903358382409e-05,0.008327922415541589,0.1419961266399635,1.0,2,True,The solver successfully reached the end of the integration interval.,4.764
