cell_line,method,seed,nsc1,nsc2,conc1_M,conc2_M,percent_growth,final_regret
OVCAR-8,linear_curve,2,681239.0,747973.0,3.000000106112566e-07,3.000000026176508e-09,-92.73999786376952,0.4900054931640625
OVCAR-8,linear_curve,3,125066.0,681239.0,9.999999974752427e-07,3.000000106112566e-07,-93.2300033569336,0.0
OVCAR-8,linear_curve,4,125066.0,681239.0,9.999999974752427e-07,3.000000106112566e-07,-93.2300033569336,0.0
OVCAR-8,linear_curve,5,681239.0,745750.0,3.000000106112566e-07,3.000000106112566e-06,-86.1500015258789,7.0800018310546875
OVCAR-8,linear_curve,6,606869.0,713563.0,9.999999974752427e-07,9.999999747378752e-05,-65.0770034790039,28.152999877929688
OVCAR-8,linear_curve,7,125066.0,681239.0,9.999999974752427e-07,3.000000106112566e-07,-93.2300033569336,0.0
OVCAR-8,linear_curve,8,606869.0,713563.0,9.999999974752427e-07,9.999999747378752e-05,-65.0770034790039,28.152999877929688
OVCAR-8,linear_curve,9,102816.0,246131.0,3.000000106112566e-06,1.9999999494757503e-05,-67.0999984741211,26.1300048828125
OVCAR-8,ours+zero,0,125066.0,681239.0,9.999999974752427e-07,3.000000106112566e-07,-93.2300033569336,0.0
OVCAR-8,ours+zero,1,27640.0,681239.0,6.999999868639861e-08,3.000000106112566e-07,-82.62999725341797,10.600006103515623
OVCAR-8,ours+zero,2,125066.0,681239.0,9.999999974752427e-07,3.000000106112566e-07,-93.2300033569336,0.0
OVCAR-8,ours+zero,3,49842.0,681239.0,2.999999970665357e-10,3.000000106112566e-07,-88.36000061035156,4.870002746582031
OVCAR-8,ours+zero,4,747973.0,754143.0,3.000000106112566e-07,9.99999993922529e-09,-63.0,30.230003356933594
OVCAR-8,ours+zero,5,125066.0,681239.0,9.999999974752427e-07,3.000000106112566e-07,-93.2300033569336,0.0
OVCAR-8,ours+zero,6,733504.0,747973.0,1.0000000116860974e-07,3.000000106112566e-07,-83.73999786376953,9.490005493164062
OVCAR-8,ours+zero,7,125066.0,681239.0,9.999999974752427e-07,3.000000106112566e-07,-93.2300033569336,0.0
OVCAR-8,ours+zero,8,125066.0,681239.0,9.999999974752427e-07,3.000000106112566e-07,-93.2300033569336,0.0
OVCAR-8,ours+zero,9,125066.0,681239.0,9.999999974752427e-07,3.000000106112566e-07,-93.2300033569336,0.0
OVCAR-8,random,0,63878.0,719345.0,9.999999974752427e-07,3.999999975690116e-08,17.010000228881836,110.24000549316406
OVCAR-8,random,1,67574.0,122758.0,1.0000000116860974e-07,4.0000000467443897e-07,-6.849999904632568,86.3800048828125
OVCAR-8,random,2,8806.0,754143.0,1.0000000116860974e-07,9.99999993922529e-09,12.972000122070312,106.2020034790039
OVCAR-8,random,3,752.0,673596.0,9.999999747378752e-06,2.999999892949745e-08,14.072999954223633,107.3030014038086
OVCAR-8,random,4,180973.0,713563.0,3.000000106112566e-07,9.999999747378752e-05,-18.326000213623047,74.90400695800781
