cell_line,method,seed,nsc1,nsc2,conc1_M,conc2_M,percent_growth,final_regret,source
MDA-MB-435,combo_diffusion,3,608210,754143,9.999999974752427e-07,1.000000013351432e-10,-61.9739990234375,31.475997924804688,bo_selection
MDA-MB-435,bocs_sparse,3,92859,369100,6.000000212225132e-06,6.999999868639861e-08,33.189998626708984,126.63999557495117,bo_selection
MDA-MB-435,combo_diffusion,4,701852,754143,9.99999993922529e-09,9.99999993922529e-09,-83.62000274658203,9.829994201660156,bo_selection
MDA-MB-435,bocs_sparse,4,701852,754143,9.99999993922529e-09,9.99999993922529e-09,-83.62000274658203,9.829994201660156,bo_selection
MDA-MB-435,combo_diffusion,5,66847,102816,9.999999747378752e-06,3.000000106112566e-06,17.190000534057617,110.6399974822998,bo_selection
MDA-MB-435,bocs_sparse,5,608210,686673,9.999999974752427e-07,4.999999873689376e-05,-66.8010025024414,26.64899444580078,bo_selection
MDA-MB-435,combo_diffusion,6,67574,613327,9.99999993922529e-09,9.99999993922529e-09,52.63999938964844,146.08999633789062,bo_selection
MDA-MB-435,bocs_sparse,6,49842,755986,5.000000058430487e-08,2.499999936844688e-06,-43.16299819946289,50.2869987487793,bo_selection
MDA-MB-435,combo_diffusion,7,119875,754143,2.0000000233721948e-07,9.99999993922529e-09,-64.79000091552734,28.659996032714844,bo_selection
MDA-MB-435,bocs_sparse,7,608210,686673,9.999999974752427e-07,4.999999873689376e-05,-66.8010025024414,26.64899444580078,bo_selection
MDA-MB-435,combo_diffusion,8,740,754230,9.99999993922529e-09,5.999999976025183e-12,24.010000228881836,117.45999717712402,bo_selection
MDA-MB-435,bocs_sparse,8,713563,754230,9.999999747378752e-05,5.999999976025183e-12,9.029999732971191,102.47999668121338,bo_selection
MDA-MB-435,combo_diffusion,9,740,27640,1.0000000116860974e-07,6.999999868639861e-08,-29.979999542236328,63.46999740600586,bo_selection
MDA-MB-435,bocs_sparse,9,609699,673596,1.0000000116860974e-07,9.999999717180685e-10,53.18000030517578,146.62999725341797,bo_selection
PC-3,combo_diffusion,0,24559,606869,9.999999974752427e-07,9.999999717180685e-10,-7.480000019073486,84.42000150680542,bo_selection
PC-3,bocs_sparse,0,24559,606869,9.999999974752427e-07,9.999999717180685e-10,-7.480000019073486,84.42000150680542,bo_selection
PC-3,combo_diffusion,1,85998,256439,0.0010000000474974513,9.99999993922529e-09,67.802001953125,159.7020034790039,bo_selection
PC-3,bocs_sparse,1,9706,681239,4.999999987376214e-07,3.000000106112566e-07,-91.47000122070312,0.43000030517578125,bo_selection
PC-3,combo_diffusion,2,747599,747973,9.99999993922529e-09,2.999999892949745e-08,22.610000610351562,114.51000213623047,bo_selection
PC-3,bocs_sparse,2,109724,747973,9.999999747378752e-05,3.000000106112566e-07,-41.25,50.650001525878906,bo_selection
PC-3,combo_diffusion,3,92859,745750,6.000000212225132e-06,3.000000106112566e-07,1.2899999618530273,93.19000148773193,bo_selection
