dataset,cell_line,row_kind,method,seed,nsc1,nsc2,conc1_M,conc2_M,percent_growth,final_regret,pool_optimum_percent_growth,chose_pool_optimum,best_step,n_replicates,pool_index,source_pool_index,pool_size,pool_size_full,n_init,n_iter
almanac,SN12C,bo_selection,act_hamming+zero,8,740,24559,9.999999717180685e-10,9.999999974752427e-07,-51.900001525878906,39.06999969482422,-90.97000122070312,False,23,1,19,128,4000,46508,10,20
almanac,SN12C,bo_selection,act_hamming+zero,9,740,24559,9.999999717180685e-10,9.999999974752427e-07,-51.900001525878906,39.06999969482422,-90.97000122070312,False,23,1,19,128,4000,46508,10,20
almanac,SN12C,bo_selection,hamming+zero,0,740,24559,9.999999717180685e-10,9.999999974752427e-07,-51.900001525878906,39.06999969482422,-90.97000122070312,False,23,1,19,128,4000,46508,10,20
almanac,SN12C,bo_selection,hamming+zero,1,740,24559,9.999999717180685e-10,9.999999974752427e-07,-51.900001525878906,39.06999969482422,-90.97000122070312,False,23,1,19,128,4000,46508,10,20
almanac,SN12C,bo_selection,hamming+zero,2,740,24559,9.999999717180685e-10,9.999999974752427e-07,-51.900001525878906,39.06999969482422,-90.97000122070312,False,23,1,19,128,4000,46508,10,20
almanac,SN12C,bo_selection,hamming+zero,3,740,24559,9.999999717180685e-10,9.999999974752427e-07,-51.900001525878906,39.06999969482422,-90.97000122070312,False,23,1,19,128,4000,46508,10,20
almanac,SN12C,bo_selection,hamming+zero,4,740,24559,9.999999717180685e-10,9.999999974752427e-07,-51.900001525878906,39.06999969482422,-90.97000122070312,False,23,1,19,128,4000,46508,10,20
almanac,SN12C,bo_selection,hamming+zero,5,740,24559,9.999999717180685e-10,9.999999974752427e-07,-51.900001525878906,39.06999969482422,-90.97000122070312,False,23,1,19,128,4000,46508,10,20
almanac,SN12C,bo_selection,hamming+zero,6,740,24559,9.999999717180685e-10,9.999999974752427e-07,-51.900001525878906,39.06999969482422,-90.97000122070312,False,23,1,19,128,4000,46508,10,20
almanac,SN12C,bo_selection,hamming+zero,7,740,24559,9.999999717180685e-10,9.999999974752427e-07,-51.900001525878906,39.06999969482422,-90.97000122070312,False,29,1,19,128,4000,46508,10,20
almanac,SN12C,bo_selection,hamming+zero,8,740,24559,9.999999717180685e-10,9.999999974752427e-07,-51.900001525878906,39.06999969482422,-90.97000122070312,False,23,1,19,128,4000,46508,10,20
almanac,SN12C,bo_selection,hamming+zero,9,740,24559,9.999999717180685e-10,9.999999974752427e-07,-51.900001525878906,39.06999969482422,-90.97000122070312,False,23,1,19,128,4000,46508,10,20
almanac,SN12C,bo_selection,linear_curve,0,26271,754143,9.999999747378752e-05,9.99999993922529e-09,-78.77999877929688,12.19000244140625,-90.97000122070312,False,15,1,1277,14822,4000,46508,10,20
almanac,SN12C,bo_selection,linear_curve,1,26271,754143,9.999999747378752e-05,9.99999993922529e-09,-78.77999877929688,12.19000244140625,-90.97000122070312,False,22,1,1277,14822,4000,46508,10,20
almanac,SN12C,bo_selection,linear_curve,2,34462,754143,4.999999873689376e-05,9.99999993922529e-09,-88.677001953125,2.292999267578125,-90.97000122070312,False,21,1,1533,17792,4000,46508,10,20
almanac,SN12C,bo_selection,linear_curve,3,24559,606869,9.999999974752427e-07,1.0000000116860974e-07,-64.94000244140625,26.029998779296875,-90.97000122070312,False,15,1,1122,13031,4000,46508,10,20
almanac,SN12C,bo_selection,linear_curve,4,24559,85998,9.999999974752427e-07,9.999999747378752e-05,-63.2400016784668,27.729999542236328,-90.97000122070312,False,12,1,1098,12770,4000,46508,10,20
almanac,SN12C,bo_selection,linear_curve,5,34462,754143,4.999999873689376e-05,9.99999993922529e-09,-88.677001953125,2.292999267578125,-90.97000122070312,False,29,1,1533,17792,4000,46508,10,20
almanac,SN12C,bo_selection,linear_curve,6,34462,754143,4.999999873689376e-05,9.99999993922529e-09,-88.677001953125,2.292999267578125,-90.97000122070312,False,16,1,1533,17792,4000,46508,10,20
